Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202531-bond-2031-ca135087t792?miRedirects=1,"1,149759344,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,149759344,1330,184&from=20260105&to=20260119",CA135087T792,CANADA 25/31,Canada,"Canada, Government of...","26,250,000,000",CAD,99.78,10/2/2025,2.750%,1000,,regular interest,,3/1/2031,3/1/2026,,2.0,3/1/2026,2/28/2031,No,2026-01-05,98.813
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202531-bond-2031-ca135087t792?miRedirects=1,"1,149759344,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,149759344,1330,184&from=20260105&to=20260119",CA135087T792,CANADA 25/31,Canada,"Canada, Government of...","26,250,000,000",CAD,99.78,10/2/2025,2.750%,1000,,regular interest,,3/1/2031,3/1/2026,,2.0,3/1/2026,2/28/2031,No,2026-01-06,98.723
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202531-bond-2031-ca135087t792?miRedirects=1,"1,149759344,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,149759344,1330,184&from=20260105&to=20260119",CA135087T792,CANADA 25/31,Canada,"Canada, Government of...","26,250,000,000",CAD,99.78,10/2/2025,2.750%,1000,,regular interest,,3/1/2031,3/1/2026,,2.0,3/1/2026,2/28/2031,No,2026-01-07,98.888
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202531-bond-2031-ca135087t792?miRedirects=1,"1,149759344,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,149759344,1330,184&from=20260105&to=20260119",CA135087T792,CANADA 25/31,Canada,"Canada, Government of...","26,250,000,000",CAD,99.78,10/2/2025,2.750%,1000,,regular interest,,3/1/2031,3/1/2026,,2.0,3/1/2026,2/28/2031,No,2026-01-08,98.823
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202531-bond-2031-ca135087t792?miRedirects=1,"1,149759344,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,149759344,1330,184&from=20260105&to=20260119",CA135087T792,CANADA 25/31,Canada,"Canada, Government of...","26,250,000,000",CAD,99.78,10/2/2025,2.750%,1000,,regular interest,,3/1/2031,3/1/2026,,2.0,3/1/2026,2/28/2031,No,2026-01-09,98.913
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202531-bond-2031-ca135087t792?miRedirects=1,"1,149759344,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,149759344,1330,184&from=20260105&to=20260119",CA135087T792,CANADA 25/31,Canada,"Canada, Government of...","26,250,000,000",CAD,99.78,10/2/2025,2.750%,1000,,regular interest,,3/1/2031,3/1/2026,,2.0,3/1/2026,2/28/2031,No,2026-01-12,98.85
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202531-bond-2031-ca135087t792?miRedirects=1,"1,149759344,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,149759344,1330,184&from=20260105&to=20260119",CA135087T792,CANADA 25/31,Canada,"Canada, Government of...","26,250,000,000",CAD,99.78,10/2/2025,2.750%,1000,,regular interest,,3/1/2031,3/1/2026,,2.0,3/1/2026,2/28/2031,No,2026-01-13,98.838
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202531-bond-2031-ca135087t792?miRedirects=1,"1,149759344,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,149759344,1330,184&from=20260105&to=20260119",CA135087T792,CANADA 25/31,Canada,"Canada, Government of...","26,250,000,000",CAD,99.78,10/2/2025,2.750%,1000,,regular interest,,3/1/2031,3/1/2026,,2.0,3/1/2026,2/28/2031,No,2026-01-14,99.033
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202531-bond-2031-ca135087t792?miRedirects=1,"1,149759344,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,149759344,1330,184&from=20260105&to=20260119",CA135087T792,CANADA 25/31,Canada,"Canada, Government of...","26,250,000,000",CAD,99.78,10/2/2025,2.750%,1000,,regular interest,,3/1/2031,3/1/2026,,2.0,3/1/2026,2/28/2031,No,2026-01-15,99.043
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202531-bond-2031-ca135087t792?miRedirects=1,"1,149759344,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,149759344,1330,184&from=20260105&to=20260119",CA135087T792,CANADA 25/31,Canada,"Canada, Government of...","26,250,000,000",CAD,99.78,10/2/2025,2.750%,1000,,regular interest,,3/1/2031,3/1/2026,,2.0,3/1/2026,2/28/2031,No,2026-01-16,98.968
