Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202528-bond-2028-ca135087t958?miRedirects=1,"1,151027258,16,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,151027258,16,184&from=20260105&to=20260119",CA135087T958,CANADA 25/28,Canada,"Canada, Government of...","24,000,000,000",CAD,99.52,11/14/2025,2.250%,1000,,regular interest,,2/1/2028,2/1/2026,,2.0,2/1/2026,1/31/2028,No,2026-01-05,99.239
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202528-bond-2028-ca135087t958?miRedirects=1,"1,151027258,16,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,151027258,16,184&from=20260105&to=20260119",CA135087T958,CANADA 25/28,Canada,"Canada, Government of...","24,000,000,000",CAD,99.52,11/14/2025,2.250%,1000,,regular interest,,2/1/2028,2/1/2026,,2.0,2/1/2026,1/31/2028,No,2026-01-06,99.234
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202528-bond-2028-ca135087t958?miRedirects=1,"1,151027258,16,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,151027258,16,184&from=20260105&to=20260119",CA135087T958,CANADA 25/28,Canada,"Canada, Government of...","24,000,000,000",CAD,99.52,11/14/2025,2.250%,1000,,regular interest,,2/1/2028,2/1/2026,,2.0,2/1/2026,1/31/2028,No,2026-01-07,99.285
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202528-bond-2028-ca135087t958?miRedirects=1,"1,151027258,16,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,151027258,16,184&from=20260105&to=20260119",CA135087T958,CANADA 25/28,Canada,"Canada, Government of...","24,000,000,000",CAD,99.52,11/14/2025,2.250%,1000,,regular interest,,2/1/2028,2/1/2026,,2.0,2/1/2026,1/31/2028,No,2026-01-08,99.276
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202528-bond-2028-ca135087t958?miRedirects=1,"1,151027258,16,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,151027258,16,184&from=20260105&to=20260119",CA135087T958,CANADA 25/28,Canada,"Canada, Government of...","24,000,000,000",CAD,99.52,11/14/2025,2.250%,1000,,regular interest,,2/1/2028,2/1/2026,,2.0,2/1/2026,1/31/2028,No,2026-01-09,99.302
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202528-bond-2028-ca135087t958?miRedirects=1,"1,151027258,16,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,151027258,16,184&from=20260105&to=20260119",CA135087T958,CANADA 25/28,Canada,"Canada, Government of...","24,000,000,000",CAD,99.52,11/14/2025,2.250%,1000,,regular interest,,2/1/2028,2/1/2026,,2.0,2/1/2026,1/31/2028,No,2026-01-12,99.286
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202528-bond-2028-ca135087t958?miRedirects=1,"1,151027258,16,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,151027258,16,184&from=20260105&to=20260119",CA135087T958,CANADA 25/28,Canada,"Canada, Government of...","24,000,000,000",CAD,99.52,11/14/2025,2.250%,1000,,regular interest,,2/1/2028,2/1/2026,,2.0,2/1/2026,1/31/2028,No,2026-01-13,99.311
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202528-bond-2028-ca135087t958?miRedirects=1,"1,151027258,16,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,151027258,16,184&from=20260105&to=20260119",CA135087T958,CANADA 25/28,Canada,"Canada, Government of...","24,000,000,000",CAD,99.52,11/14/2025,2.250%,1000,,regular interest,,2/1/2028,2/1/2026,,2.0,2/1/2026,1/31/2028,No,2026-01-14,99.36
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202528-bond-2028-ca135087t958?miRedirects=1,"1,151027258,16,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,151027258,16,184&from=20260105&to=20260119",CA135087T958,CANADA 25/28,Canada,"Canada, Government of...","24,000,000,000",CAD,99.52,11/14/2025,2.250%,1000,,regular interest,,2/1/2028,2/1/2026,,2.0,2/1/2026,1/31/2028,No,2026-01-15,99.361
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202528-bond-2028-ca135087t958?miRedirects=1,"1,151027258,16,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,151027258,16,184&from=20260105&to=20260119",CA135087T958,CANADA 25/28,Canada,"Canada, Government of...","24,000,000,000",CAD,99.52,11/14/2025,2.250%,1000,,regular interest,,2/1/2028,2/1/2026,,2.0,2/1/2026,1/31/2028,No,2026-01-16,99.328
